-0.43783	-0.30956	-0.36721	-0.34002	-0.37172	-0.36789	-0.35447	0.27217	-0.16591	-0.23319	0.26885	-0.26836	-0.42308	-0.29293	-0.37659	-0.31478	-0.15741	-0.29697	-0.31548	-0.24491
-0.40402	-0.2875	-0.26563	-0.17364	-0.31884	-0.3511	-0.25258	-0.32352	-0.33913	-0.30244	-0.26119	-0.28696	-0.36682	-0.26625	-0.24755	-0.30655	-0.27926	-0.23768	-0.40942	-0.21989
-0.26945	-0.22863	-0.28004	-0.36443	0.14273	-0.23268	-0.2965	-0.28207	-0.32377	-0.36914	-0.33871	-0.37499	-0.23432	-0.26361	-0.1988	-0.30652	-0.30036	0.24347	-0.47422	-0.38794
-0.21091	-0.33324	-0.157	-0.22754	-0.17954	-0.23901	-0.25916	-0.27978	-0.20166	-0.21303	-0.20696	-0.27551	-0.19985	-0.31044	-0.179	-0.35108	-0.20338	-0.25796	-0.25744	-0.26381
-0.2487	-0.33546	-0.269	-0.22407	-0.23492	-0.28163	-0.18579	-0.22141	-0.2704	-0.25516	-0.28693	-0.22839	-0.20077	-0.27484	-0.22221	-0.29532	-0.30569	-0.30121	-0.26638	-0.23962
-0.24875	-0.33522	-0.20238	-0.25584	-0.31319	-0.2727	-0.21667	-0.2844	-0.22525	-0.25564	-0.23229	-0.17238	-0.25049	-0.36553	-0.30379	-0.28288	-0.33322	-0.29657	-0.26872	-0.27442
-0.25968	-0.30689	-0.28802	-0.24128	-0.3172	-0.24809	-0.28674	-0.31555	-0.30636	-0.24629	-0.248	-0.23948	-0.25899	-0.21655	-0.26013	-0.27918	-0.21653	-0.21497	-0.28531	-0.25952
-0.25001	-0.30915	-0.34476	-0.25389	-0.3098	-0.27005	-0.30118	-0.34975	-0.37398	-0.17343	-0.40139	-0.26492	-0.29637	0.23377	-0.33587	-0.3259	-0.16878	-0.26982	-0.32416	-0.25576
-0.25299	-0.25627	-0.21414	-0.26181	-0.2389	-0.30355	-0.23196	-0.2554	-0.24764	-0.27294	-0.25679	-0.21681	-0.26317	-0.22051	-0.23203	-0.23256	-0.22965	-0.241	-0.24691	-0.2268
-0.24494	-0.26953	-0.25606	-0.29608	-0.28669	-0.25207	-0.27469	-0.24732	-0.22528	-0.18505	-0.19986	-0.35378	-0.27765	-0.24299	-0.26292	-0.22812	-0.24855	-0.28894	-0.22528	-0.26666
